,ticker,value
744,DHT,"Oil, Gas & Consumable Fuels"
745,IRM,Equity Real Estate Investment
746,EXPR,Specialty Retail
747,UPWK,Professional Services
748,ARLP,"Oil, Gas & Consumable Fuels"
749,DPZ,"Hotels, Restaurants & Leisure"
750,UNM,Insurance
751,PRCH,Internet & Direct Marketing Re
752,PLAN,Software
753,PAYO,IT Services
754,APP,Software
755,HZNP,Biotechnology
756,ORGN,Chemicals
757,HWM,Aerospace & Defense
758,CLR,"Oil, Gas & Consumable Fuels"
759,PGR,Insurance
760,TOL,Household Durables
761,XERS,Pharmaceuticals
762,SHAK,"Hotels, Restaurants & Leisure"
763,INCY,Biotechnology
764,REE,Auto Components
765,MAXR,Aerospace & Defense
766,GNOG,"Hotels, Restaurants & Leisure"
767,ADMA,Biotechnology
768,WMC,Mortgage Real Estate Investmen
769,REGN,Biotechnology
770,PRGO,Pharmaceuticals
771,NWL,Household Durables
772,BGFV,Specialty Retail
773,ACI,Food & Staples Retailing
774,COMP,Real Estate Management & Devel
775,CTRM,Marine
776,HUM,Health Care Providers & Servic
777,CSLT,Health Care Technology
778,DFS,Consumer Finance
779,DXC,IT Services
780,NOC,Aerospace & Defense
781,CRTD,Interactive Media & Services
782,SPGI,Capital Markets
783,WTI,"Oil, Gas & Consumable Fuels"
784,VG,Software
785,NVCR,Health Care Equipment & Suppli
786,FUV,Automobiles
787,RGS,Diversified Consumer Services
788,OZON,Internet & Direct Marketing Re
789,SHW,Chemicals
790,LNC,Insurance
791,PETS,Internet & Direct Marketing Re
792,KTOS,Aerospace & Defense
793,CSPR,Household Durables
794,AMBA,Semiconductors & Semiconductor
795,BFLY,Health Care Equipment & Suppli
796,BIGC,IT Services
797,SD,"Oil, Gas & Consumable Fuels"
798,BYSI,Biotechnology
799,ARCC,Capital Markets
800,CVAC,Biotechnology
801,NRXP,Pharmaceuticals
802,ZUO,Software
803,RFP,Paper & Forest Products
804,KOPN,Semiconductors & Semiconductor
805,EVH,Health Care Technology
806,LAUR,Diversified Consumer Services
807,HYFM,Machinery
808,SGMO,Biotechnology
809,PLD,Equity Real Estate Investment
810,RNG,Software
811,TDC,Software
812,NOG,"Oil, Gas & Consumable Fuels"
813,ARRY,Electrical Equipment
814,DCRC,
815,YUMC,"Hotels, Restaurants & Leisure"
816,CYRX,Health Care Equipment & Suppli
817,ORI,Insurance
818,SOL,Construction & Engineering
819,BZUN,Internet & Direct Marketing Re
820,STZ,Beverages
821,CME,Capital Markets
822,FREY,Electrical Equipment
823,ANF,Specialty Retail
824,JKS,Semiconductors & Semiconductor
825,MMP,"Oil, Gas & Consumable Fuels"
826,UNFI,Food & Staples Retailing
827,FIGS,Health Care Equipment & Suppli
828,MAPS,Software
829,ARMK,"Hotels, Restaurants & Leisure"
830,HIG,Insurance
831,TSP,Road & Rail
832,TRVN,Biotechnology
833,IMVT,Biotechnology
834,LX,Consumer Finance
835,BILL,Software
836,HGEN,Biotechnology
837,ACM,Construction & Engineering
838,TGNA,Media
839,SWCH,IT Services
840,LPCN,Pharmaceuticals
841,CBOE,Capital Markets
842,PAVM,Health Care Equipment & Suppli
843,CBRL,"Hotels, Restaurants & Leisure"
844,FTNT,Software
845,STT,Capital Markets
846,CCI,Equity Real Estate Investment
847,HCA,Health Care Providers & Servic
848,BAX,Health Care Equipment & Suppli
849,MPLN,Health Care Technology
850,ALL,Insurance
851,ZI,Interactive Media & Services
852,URI,Trading Companies & Distributo
853,SI,Banks
854,DOCN,IT Services
855,INVZ,"Electronic Equipment, Instrume"
856,CHRW,Air Freight & Logistics
857,AEHR,Semiconductors & Semiconductor
858,SHPW,
859,YUM,"Hotels, Restaurants & Leisure"
860,MIC,Gas Utilities
861,CIM,Mortgage Real Estate Investmen
862,POSH,Internet & Direct Marketing Re
863,TTOO,Biotechnology
864,DXCM,Health Care Equipment & Suppli
865,NGL,"Oil, Gas & Consumable Fuels"
866,PGEN,Biotechnology
867,TRTN,Trading Companies & Distributo
868,KDP,Beverages
869,BXMT,Mortgage Real Estate Investmen
870,SAM,Beverages
871,NEWR,Software
872,KLAC,Semiconductors & Semiconductor
873,QRVO,Semiconductors & Semiconductor
874,KPTI,Biotechnology
875,BEN,Capital Markets
876,APT,Building Products
877,BLDR,Building Products
878,GOCO,Insurance
879,ONDS,Communications Equipment
880,NYCB,Thrifts & Mortgage Finance
881,QURE,Biotechnology
882,CPLG,Equity Real Estate Investment
883,BLK,Capital Markets
884,WOOF,Specialty Retail
885,NRDY,Diversified Consumer Services
886,DNMR,Chemicals
887,JCI,Building Products
888,AER,Trading Companies & Distributo
889,O,Equity Real Estate Investment
890,NTAP,"Technology Hardware, Storage &"
