,t,f,v
361,APPH US EQUITY,GICS SECTOR NAME,Consumer Staples
362,ZEN US EQUITY,GICS SECTOR NAME,Information Technology
363,AMWL US EQUITY,GICS SECTOR NAME,Health Care
364,MP US EQUITY,GICS SECTOR NAME,Materials
365,STNG US EQUITY,GICS SECTOR NAME,Energy
366,MSTR US EQUITY,GICS SECTOR NAME,Information Technology
367,EXC US EQUITY,GICS SECTOR NAME,Utilities
368,DKS US EQUITY,GICS SECTOR NAME,Consumer Discretionary
369,TRIT US EQUITY,GICS SECTOR NAME,Information Technology
370,OTLY US EQUITY,GICS SECTOR NAME,Consumer Staples
371,XSPA US EQUITY,GICS SECTOR NAME,Consumer Discretionary
372,BBWI US EQUITY,GICS SECTOR NAME,Consumer Discretionary
373,DWAC US EQUITY,GICS SECTOR NAME,
374,LRCX US EQUITY,GICS SECTOR NAME,Information Technology
375,XL US EQUITY,GICS SECTOR NAME,Consumer Discretionary
376,PXD US EQUITY,GICS SECTOR NAME,Energy
377,RBAC US EQUITY,GICS SECTOR NAME,
378,LC US EQUITY,GICS SECTOR NAME,Financials
379,SOLO US EQUITY,GICS SECTOR NAME,Consumer Discretionary
380,SPIR US EQUITY,GICS SECTOR NAME,Industrials
381,FE US EQUITY,GICS SECTOR NAME,Utilities
382,CRSP US EQUITY,GICS SECTOR NAME,Health Care
383,NOW US EQUITY,GICS SECTOR NAME,Information Technology
384,FL US EQUITY,GICS SECTOR NAME,Consumer Discretionary
385,GLNG US EQUITY,GICS SECTOR NAME,Energy
386,AMGN US EQUITY,GICS SECTOR NAME,Health Care
387,SWKS US EQUITY,GICS SECTOR NAME,Information Technology
388,CDE US EQUITY,GICS SECTOR NAME,Materials
389,IP US EQUITY,GICS SECTOR NAME,Materials
390,HUYA US EQUITY,GICS SECTOR NAME,Communication Services
391,GNW US EQUITY,GICS SECTOR NAME,Financials
392,CLSK US EQUITY,GICS SECTOR NAME,Information Technology
393,PNC US EQUITY,GICS SECTOR NAME,Financials
394,HPE US EQUITY,GICS SECTOR NAME,Information Technology
395,LEV US EQUITY,GICS SECTOR NAME,Industrials
396,PATH US EQUITY,GICS SECTOR NAME,Information Technology
397,YNDX US EQUITY,GICS SECTOR NAME,Communication Services
398,SKT US EQUITY,GICS SECTOR NAME,Real Estate
399,TTWO US EQUITY,GICS SECTOR NAME,Communication Services
400,DD US EQUITY,GICS SECTOR NAME,Materials
401,SSYS US EQUITY,GICS SECTOR NAME,Information Technology
402,CPE US EQUITY,GICS SECTOR NAME,Energy
403,ZEV US EQUITY,GICS SECTOR NAME,Industrials
404,SYF US EQUITY,GICS SECTOR NAME,Financials
405,SPR US EQUITY,GICS SECTOR NAME,Industrials
406,PLAY US EQUITY,GICS SECTOR NAME,Consumer Discretionary
407,CF US EQUITY,GICS SECTOR NAME,Materials
408,XRX US EQUITY,GICS SECTOR NAME,Information Technology
409,ASAN US EQUITY,GICS SECTOR NAME,Information Technology
410,FLR US EQUITY,GICS SECTOR NAME,Industrials
411,HOG US EQUITY,GICS SECTOR NAME,Consumer Discretionary
412,SFIX US EQUITY,GICS SECTOR NAME,Consumer Discretionary
413,BODY US EQUITY,GICS SECTOR NAME,Consumer Discretionary
414,REI US EQUITY,GICS SECTOR NAME,Energy
415,REKR US EQUITY,GICS SECTOR NAME,Information Technology
416,PTRA US EQUITY,GICS SECTOR NAME,Industrials
417,EVFM US EQUITY,GICS SECTOR NAME,Health Care
418,DT US EQUITY,GICS SECTOR NAME,Information Technology
419,RAD US EQUITY,GICS SECTOR NAME,Consumer Staples
420,STNE US EQUITY,GICS SECTOR NAME,Information Technology
421,TFC US EQUITY,GICS SECTOR NAME,Financials
422,AES US EQUITY,GICS SECTOR NAME,Utilities
423,PRU US EQUITY,GICS SECTOR NAME,Financials
424,CIFR US EQUITY,GICS SECTOR NAME,Information Technology
425,STEM US EQUITY,GICS SECTOR NAME,Industrials
426,TEAM US EQUITY,GICS SECTOR NAME,Information Technology
427,MCMJ US EQUITY,GICS SECTOR NAME,
428,VUZI US EQUITY,GICS SECTOR NAME,Consumer Discretionary
429,STLD US EQUITY,GICS SECTOR NAME,Materials
430,OPAD US EQUITY,GICS SECTOR NAME,
431,FIS US EQUITY,GICS SECTOR NAME,Information Technology
432,AKAM US EQUITY,GICS SECTOR NAME,Information Technology
433,AYX US EQUITY,GICS SECTOR NAME,Information Technology
434,VLTA US EQUITY,GICS SECTOR NAME,Consumer Discretionary
435,FIVN US EQUITY,GICS SECTOR NAME,Information Technology
436,CHTR US EQUITY,GICS SECTOR NAME,Communication Services
437,CI US EQUITY,GICS SECTOR NAME,Health Care
438,HIPO US EQUITY,GICS SECTOR NAME,Financials
439,MQ US EQUITY,GICS SECTOR NAME,Information Technology
440,GPRO US EQUITY,GICS SECTOR NAME,Consumer Discretionary
441,INSG US EQUITY,GICS SECTOR NAME,Information Technology
442,VRM US EQUITY,GICS SECTOR NAME,Consumer Discretionary
443,QRTEA US EQUITY,GICS SECTOR NAME,Consumer Discretionary
444,VLDR US EQUITY,GICS SECTOR NAME,Information Technology
445,DHR US EQUITY,GICS SECTOR NAME,Health Care
446,NXTD US EQUITY,GICS SECTOR NAME,Information Technology
447,WEN US EQUITY,GICS SECTOR NAME,Consumer Discretionary
448,LEN US EQUITY,GICS SECTOR NAME,Consumer Discretionary
449,BLMN US EQUITY,GICS SECTOR NAME,Consumer Discretionary
450,EBON US EQUITY,GICS SECTOR NAME,Information Technology
451,ALLY US EQUITY,GICS SECTOR NAME,Financials
452,LMT US EQUITY,GICS SECTOR NAME,Industrials
453,NVTA US EQUITY,GICS SECTOR NAME,Health Care
454,ME US EQUITY,GICS SECTOR NAME,Health Care
