,ticker,value
653,CIEN,Communications Equipment
654,OKE,"Oil, Gas & Consumable Fuels"
655,MPLX,"Oil, Gas & Consumable Fuels"
656,DGLY,"Electronic Equipment, Instrume"
657,CTXR,Pharmaceuticals
658,RNW,Independent Power and Renewabl
659,EXAS,Biotechnology
660,NBEV,Beverages
661,IMGN,Biotechnology
662,VIEW,Building Products
663,AMT,Equity Real Estate Investment
664,MBI,Insurance
665,SLCA,Energy Equipment & Services
666,GNRC,Electrical Equipment
667,MPW,Equity Real Estate Investment
668,FVRR,Internet & Direct Marketing Re
669,HBAN,Banks
670,DD,Chemicals
671,SSYS,"Technology Hardware, Storage &"
672,CPE,"Oil, Gas & Consumable Fuels"
673,ZEV,Machinery
674,SYF,Consumer Finance
675,SPR,Aerospace & Defense
676,PLAY,"Hotels, Restaurants & Leisure"
677,CF,Chemicals
678,XRX,"Technology Hardware, Storage &"
679,ASAN,Software
680,ZIOP,Biotechnology
681,RDW,
682,TXMD,Pharmaceuticals
683,SEDG,Semiconductors & Semiconductor
684,GES,Specialty Retail
685,AM,"Oil, Gas & Consumable Fuels"
686,EDIT,Biotechnology
687,GERN,Biotechnology
688,BG,Food Products
689,GDRX,Health Care Technology
690,BLDE,Airlines
691,LEVI,"Textiles, Apparel & Luxury Goo"
692,OUST,"Electronic Equipment, Instrume"
693,XPO,Road & Rail
694,WIMI,Media
695,TXRH,"Hotels, Restaurants & Leisure"
696,BKNG,"Hotels, Restaurants & Leisure"
697,XXII,Tobacco
698,OCUL,Pharmaceuticals
699,MNST,Beverages
700,ROST,Specialty Retail
701,IOVA,Biotechnology
702,DRI,"Hotels, Restaurants & Leisure"
703,IVZ,Capital Markets
704,GOED,Internet & Direct Marketing Re
705,THC,Health Care Providers & Servic
706,ALDX,Biotechnology
707,CTSH,IT Services
708,VEEV,Health Care Technology
709,FOUR,IT Services
710,NOC,Aerospace & Defense
711,CRTD,Interactive Media & Services
712,SPGI,Capital Markets
713,WTI,"Oil, Gas & Consumable Fuels"
714,VG,Software
715,NVCR,Health Care Equipment & Suppli
716,FUV,Automobiles
717,RGS,Diversified Consumer Services
718,OZON,Internet & Direct Marketing Re
719,SHW,Chemicals
720,AXL,Auto Components
721,UP,Airlines
722,LILM,Aerospace & Defense
723,LPX,Paper & Forest Products
724,ACAD,Biotechnology
725,RBOT,Health Care Equipment & Suppli
726,SFM,Food & Staples Retailing
727,CHS,Specialty Retail
728,DPW,Electrical Equipment
729,LIN,Chemicals
730,PRGO,Pharmaceuticals
731,NWL,Household Durables
732,BGFV,Specialty Retail
733,ACI,Food & Staples Retailing
734,COMP,Real Estate Management & Devel
735,CTRM,Marine
736,HUM,Health Care Providers & Servic
737,CSLT,Health Care Technology
738,DFS,Consumer Finance
739,DXC,IT Services
740,NYCB,Thrifts & Mortgage Finance
741,QURE,Biotechnology
742,CPLG,Equity Real Estate Investment
743,BLK,Capital Markets
744,WOOF,Specialty Retail
745,NRDY,Diversified Consumer Services
746,DNMR,Chemicals
747,JCI,Building Products
748,AER,Trading Companies & Distributo
749,O,Equity Real Estate Investment
750,MIC,Gas Utilities
751,CIM,Mortgage Real Estate Investmen
752,POSH,Internet & Direct Marketing Re
753,TTOO,Biotechnology
754,DXCM,Health Care Equipment & Suppli
755,NGL,"Oil, Gas & Consumable Fuels"
756,PGEN,Biotechnology
757,TRTN,Trading Companies & Distributo
758,KDP,Beverages
759,BXMT,Mortgage Real Estate Investmen
760,RNG,Software
761,TDC,Software
762,NOG,"Oil, Gas & Consumable Fuels"
763,ARRY,Electrical Equipment
764,DCRC,
765,YUMC,"Hotels, Restaurants & Leisure"
766,CYRX,Health Care Equipment & Suppli
767,ORI,Insurance
768,SOL,Construction & Engineering
769,BZUN,Internet & Direct Marketing Re
770,LTHM,Chemicals
771,HLF,Personal Products
772,RH,Specialty Retail
773,INTU,Software
774,TX,Metals & Mining
775,VIRT,Capital Markets
776,IIVI,"Electronic Equipment, Instrume"
777,VBIV,Biotechnology
778,BMRN,Biotechnology
779,DG,Multiline Retail
780,PPC,Food Products
781,JNPR,Communications Equipment
782,KC,IT Services
783,ESTC,Software
784,TPR,"Textiles, Apparel & Luxury Goo"
785,ZG,Real Estate Management & Devel
786,SMSI,Software
787,UPH,Health Care Technology
788,CLVR,Pharmaceuticals
789,ILMN,Life Sciences Tools & Services
790,PSEC,Capital Markets
791,HST,Equity Real Estate Investment
792,RLGY,Real Estate Management & Devel
793,IBRX,Biotechnology
794,CTXS,Software
795,PAYX,IT Services
796,HRL,Food Products
797,PCT,Chemicals
798,PAYS,IT Services
799,HA,Airlines
800,TOL,Household Durables
801,XERS,Pharmaceuticals
802,SHAK,"Hotels, Restaurants & Leisure"
803,INCY,Biotechnology
804,REE,Auto Components
805,MAXR,Aerospace & Defense
806,GNOG,"Hotels, Restaurants & Leisure"
807,ADMA,Biotechnology
808,WMC,Mortgage Real Estate Investmen
809,REGN,Biotechnology
810,CVAC,Biotechnology
811,NRXP,Pharmaceuticals
812,ZUO,Software
813,RFP,Paper & Forest Products
814,KOPN,Semiconductors & Semiconductor
815,EVH,Health Care Technology
816,LAUR,Diversified Consumer Services
817,HYFM,Machinery
818,SGMO,Biotechnology
819,PLD,Equity Real Estate Investment
820,MUDS,
821,CAG,Food Products
822,AVPT,Software
823,ADP,IT Services
824,DHT,"Oil, Gas & Consumable Fuels"
825,IRM,Equity Real Estate Investment
826,EXPR,Specialty Retail
827,UPWK,Professional Services
828,ARLP,"Oil, Gas & Consumable Fuels"
829,DPZ,"Hotels, Restaurants & Leisure"
830,LNC,Insurance
831,PETS,Internet & Direct Marketing Re
832,KTOS,Aerospace & Defense
833,CSPR,Household Durables
834,AMBA,Semiconductors & Semiconductor
835,BFLY,Health Care Equipment & Suppli
836,BIGC,IT Services
837,SD,"Oil, Gas & Consumable Fuels"
838,BYSI,Biotechnology
839,ARCC,Capital Markets
840,UNM,Insurance
841,PRCH,Internet & Direct Marketing Re
842,PLAN,Software
843,PAYO,IT Services
844,APP,Software
845,HZNP,Biotechnology
846,ORGN,Chemicals
847,HWM,Aerospace & Defense
848,CLR,"Oil, Gas & Consumable Fuels"
849,PGR,Insurance
850,ALL,Insurance
851,ZI,Interactive Media & Services
852,URI,Trading Companies & Distributo
853,SI,Banks
854,DOCN,IT Services
855,INVZ,"Electronic Equipment, Instrume"
856,CHRW,Air Freight & Logistics
857,AEHR,Semiconductors & Semiconductor
858,SHPW,
859,YUM,"Hotels, Restaurants & Leisure"
860,STZ,Beverages
861,CME,Capital Markets
862,FREY,Electrical Equipment
863,ANF,Specialty Retail
864,JKS,Semiconductors & Semiconductor
865,MMP,"Oil, Gas & Consumable Fuels"
866,UNFI,Food & Staples Retailing
867,FIGS,Health Care Equipment & Suppli
868,MAPS,Software
869,ARMK,"Hotels, Restaurants & Leisure"
870,LPCN,Pharmaceuticals
871,CBOE,Capital Markets
872,PAVM,Health Care Equipment & Suppli
873,CBRL,"Hotels, Restaurants & Leisure"
874,FTNT,Software
875,STT,Capital Markets
876,CCI,Equity Real Estate Investment
877,HCA,Health Care Providers & Servic
878,BAX,Health Care Equipment & Suppli
879,MPLN,Health Care Technology
880,NTAP,"Technology Hardware, Storage &"
881,OLN,Chemicals
882,MX,Semiconductors & Semiconductor
883,NWSA,Media
884,VRRM,IT Services
885,OHI,Equity Real Estate Investment
886,DOCS,Health Care Technology
887,ONEM,Health Care Providers & Servic
888,AAWW,Air Freight & Logistics
